@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
109.486584,20.035681,34.865067,16.456665,4.992138,9.026125,3.740678,1.214706,3.631686,4.455513,3.265587,2.929409,3.297515,2.876577,2.323613,2.196453,1.980369,1.991921,1.415914,1.32871,1.447025,1.06315,1.05425,0.959187,1.123036,1.101696,1.109178,1.023485,1.150771,1.162579,1.175253,1.221544,1.121306,1.221544,1.175253,1.162579,1.150771,1.023485,1.109178,1.101696,1.123036,0.959187,1.05425,1.06315,1.447025,1.32871,1.415914,1.991921,1.980369,2.196453,2.323613,2.876577,3.297515,2.929409,3.265587,4.455513,3.631686,1.214706,3.740678,9.026125,4.992138,16.456665,34.865067,20.035681,3.531867,standing
49.96397,10.258627,3.700308,5.081929,0.77115,0.125199,0.037187,0.350448,0.468822,0.664301,0.533973,0.489706,0.506581,0.403604,0.337019,0.288009,0.233115,0.411434,0.261292,0.214299,0.399916,0.220804,0.184518,0.090656,0.133583,0.143623,0.214273,0.08682,0.20129,0.250414,0.283293,0.308495,0.094688,0.308495,0.283293,0.250414,0.20129,0.08682,0.214273,0.143623,0.133583,0.090656,0.184518,0.220804,0.399916,0.214299,0.261292,0.411434,0.233115,0.288009,0.337019,0.403604,0.506581,0.489706,0.533973,0.664301,0.468822,0.350448,0.037187,0.125199,0.77115,5.081929,3.700308,10.258627,1.198655,standing
54.850507,14.263078,1.58913,2.546654,0.66059,0.671337,1.324632,0.195137,0.435268,0.497978,0.425357,0.302696,0.214327,0.136655,0.146191,0.315592,0.243141,0.103403,0.309793,0.215726,0.227952,0.073817,0.176527,0.032298,0.093146,0.116386,0.239038,0.172521,0.331639,0.215785,0.098844,0.149626,0.020287,0.149626,0.098844,0.215785,0.331639,0.172521,0.239038,0.116386,0.093146,0.032298,0.176527,0.073817,0.227952,0.215726,0.309793,0.103403,0.243141,0.315592,0.146191,0.136655,0.214327,0.302696,0.425357,0.497978,0.435268,0.195137,1.324632,0.671337,0.66059,2.546654,1.58913,14.263078,1.480251,standing
103.278954,29.346749,17.078628,7.043786,14.493258,11.789332,8.432513,5.452353,4.218683,4.18746,2.434804,3.12199,1.939616,1.597946,1.881002,0.942614,0.584066,0.843809,0.300859,0.470791,0.832626,0.325325,0.32672,0.592481,0.275173,0.245989,0.307225,0.215179,0.285552,0.353995,0.283906,0.29784,0.270003,0.29784,0.283906,0.353995,0.285552,0.215179,0.307225,0.245989,0.275173,0.592481,0.32672,0.325325,0.832626,0.470791,0.300859,0.843809,0.584066,0.942614,1.881002,1.597946,1.939616,3.12199,2.434804,4.18746,4.218683,5.452353,8.432513,11.789332,14.493258,7.043786,17.078628,29.346749,4.397574,standing
75.645376,8.021168,9.493422,2.705685,8.511308,5.354517,4.544764,3.414575,0.896124,0.615498,1.110635,0.835641,0.43127,0.722213,0.349061,0.62886,0.65316,0.659459,0.522287,0.476317,0.524257,0.406689,0.449057,0.47335,0.498128,0.437642,0.370035,0.395978,0.396682,0.384991,0.393714,0.403652,0.371336,0.403652,0.393714,0.384991,0.396682,0.395978,0.370035,0.437642,0.498128,0.47335,0.449057,0.406689,0.524257,0.476317,0.522287,0.659459,0.65316,0.62886,0.349061,0.722213,0.43127,0.835641,1.110635,0.615498,0.896124,3.414575,4.544764,5.354517,8.511308,2.705685,9.493422,8.021168,2.029719,standing
49.896178,10.409961,6.867009,1.614178,3.124093,1.659046,3.908033,1.597289,0.619029,0.848797,0.130559,0.450459,0.558451,0.112474,0.326026,0.293975,0.373136,0.286602,0.331018,0.348467,0.165651,0.165246,0.197622,0.174559,0.165795,0.05189,0.101918,0.19718,0.182384,0.141219,0.149944,0.177344,0.155501,0.177344,0.149944,0.141219,0.182384,0.19718,0.101918,0.05189,0.165795,0.174559,0.197622,0.165246,0.165651,0.348467,0.331018,0.286602,0.373136,0.293975,0.326026,0.112474,0.558451,0.450459,0.130559,0.848797,0.619029,1.597289,3.908033,1.659046,3.124093,1.614178,6.867009,10.409961,1.362839,standing
29.833227,3.424939,2.464031,3.683889,2.94287,2.274394,1.893001,1.275554,0.379403,0.685523,0.477318,0.128198,0.172175,0.228062,0.120944,0.089195,0.497642,0.229852,0.219025,0.045698,0.116629,0.138748,0.194679,0.015924,0.145323,0.265181,0.100926,0.234507,0.093326,0.09385,0.137953,0.281018,0.190517,0.281018,0.137953,0.09385,0.093326,0.234507,0.100926,0.265181,0.145323,0.015924,0.194679,0.138748,0.116629,0.045698,0.219025,0.229852,0.497642,0.089195,0.120944,0.228062,0.172175,0.128198,0.477318,0.685523,0.379403,1.275554,1.893001,2.274394,2.94287,3.683889,2.464031,3.424939,0.775726,standing
41.838596,7.189408,1.084233,5.502167,3.094721,3.857333,0.690383,0.52383,0.244211,0.409938,0.491116,0.180208,0.129843,0.195372,0.271471,0.211246,0.196444,0.116416,0.16429,0.152315,0.0627,0.219145,0.077384,0.343667,0.29307,0.135924,0.026737,0.162314,0.169261,0.097941,0.121737,0.140185,0.317351,0.140185,0.121737,0.097941,0.169261,0.162314,0.026737,0.135924,0.29307,0.343667,0.077384,0.219145,0.0627,0.152315,0.16429,0.116416,0.196444,0.211246,0.271471,0.195372,0.129843,0.180208,0.491116,0.409938,0.244211,0.52383,0.690383,3.857333,3.094721,5.502167,1.084233,7.189408,1.160436,standing
33.94829,5.646198,2.583495,3.944152,3.783842,1.748782,2.069342,1.184689,1.398204,0.723307,0.429787,0.567981,0.415932,0.686514,0.603529,0.395402,0.565201,0.410317,0.466067,0.433329,0.217375,0.434828,0.331853,0.476244,0.380258,0.45994,0.433132,0.281335,0.340219,0.395943,0.305054,0.276844,0.446957,0.276844,0.305054,0.395943,0.340219,0.281335,0.433132,0.45994,0.380258,0.476244,0.331853,0.434828,0.217375,0.433329,0.466067,0.410317,0.565201,0.395402,0.603529,0.686514,0.415932,0.567981,0.429787,0.723307,1.398204,1.184689,2.069342,1.748782,3.783842,3.944152,2.583495,5.646198,1.079445,standing
48.794804,8.669843,4.609453,5.041099,3.600441,2.110082,1.060196,1.462516,1.158878,0.895921,0.920422,0.740107,0.242907,0.679401,0.48469,0.468293,0.159442,0.386175,0.60869,0.326156,0.343778,0.343009,0.36045,0.310201,0.378926,0.337702,0.343642,0.341595,0.243193,0.342867,0.268543,0.318131,0.270968,0.318131,0.268543,0.342867,0.243193,0.341595,0.343642,0.337702,0.378926,0.310201,0.36045,0.343009,0.343778,0.326156,0.60869,0.386175,0.159442,0.468293,0.48469,0.679401,0.242907,0.740107,0.920422,0.895921,1.158878,1.462516,1.060196,2.110082,3.600441,5.041099,4.609453,8.669843,1.339888,standing
37.181919,7.974856,6.819429,2.36137,0.759313,0.730869,1.012605,0.337387,0.353085,0.334344,0.491841,0.384248,0.380331,0.22847,0.119881,0.173064,0.22,0.213524,0.050631,0.100731,0.068749,0.133854,0.136533,0.162181,0.057012,0.169326,0.141692,0.120081,0.201754,0.220701,0.155541,0.170383,0.207569,0.170383,0.155541,0.220701,0.201754,0.120081,0.141692,0.169326,0.057012,0.162181,0.136533,0.133854,0.068749,0.100731,0.050631,0.213524,0.22,0.173064,0.119881,0.22847,0.380331,0.384248,0.491841,0.334344,0.353085,0.337387,1.012605,0.730869,0.759313,2.36137,6.819429,7.974856,1.017073,standing
37.261071,4.44471,3.716566,1.507857,2.886089,1.766208,1.142597,0.848164,0.774843,0.853461,0.705587,0.698112,0.75151,0.579685,0.31983,0.396359,0.477837,0.370462,0.510175,0.578552,0.582765,0.395007,0.587128,0.154905,0.286546,0.201977,0.611727,0.20997,0.26818,0.217076,0.335827,0.218923,0.290418,0.218923,0.335827,0.217076,0.26818,0.20997,0.611727,0.201977,0.286546,0.154905,0.587128,0.395007,0.582765,0.578552,0.510175,0.370462,0.477837,0.396359,0.31983,0.579685,0.75151,0.698112,0.705587,0.853461,0.774843,0.848164,1.142597,1.766208,2.886089,1.507857,3.716566,4.44471,0.923895,standing
60.982263,10.321303,9.582133,1.555268,0.793356,0.882433,0.643238,0.331883,0.350603,0.516944,0.049579,0.271775,0.265147,0.281794,0.176747,0.061398,0.273606,0.185269,0.004492,0.112674,0.090645,0.170551,0.12856,0.170542,0.191261,0.131656,0.046316,0.138898,0.184279,0.074443,0.173264,0.219523,0.129011,0.219523,0.173264,0.074443,0.184279,0.138898,0.046316,0.131656,0.191261,0.170542,0.12856,0.170551,0.090645,0.112674,0.004492,0.185269,0.273606,0.061398,0.176747,0.281794,0.265147,0.271775,0.049579,0.516944,0.350603,0.331883,0.643238,0.882433,0.793356,1.555268,9.582133,10.321303,1.418081,standing
44.999299,15.810554,11.090986,6.028788,0.986265,0.933931,1.010964,0.314911,0.455876,0.42621,0.29099,0.285064,0.423605,0.180365,0.456808,0.15895,0.222036,0.345559,0.242337,0.266744,0.238434,0.280725,0.021607,0.02477,0.235187,0.252412,0.178841,0.164273,0.056598,0.037818,0.184068,0.206885,0.209948,0.206885,0.184068,0.037818,0.056598,0.164273,0.178841,0.252412,0.235187,0.02477,0.021607,0.280725,0.238434,0.266744,0.242337,0.345559,0.222036,0.15895,0.456808,0.180365,0.423605,0.285064,0.29099,0.42621,0.455876,0.314911,1.010964,0.933931,0.986265,6.028788,11.090986,15.810554,1.6344,standing
26.652629,7.903355,4.802325,2.507814,0.92094,0.428191,0.208681,0.719976,0.480842,0.15964,0.314413,0.310461,0.172872,0.277007,0.125175,0.041061,0.220999,0.122931,0.174853,0.073342,0.041481,0.117153,0.10019,0.133277,0.188152,0.187257,0.148756,0.07506,0.135821,0.166486,0.110132,0.064698,0.052769,0.064698,0.110132,0.166486,0.135821,0.07506,0.148756,0.187257,0.188152,0.133277,0.10019,0.117153,0.041481,0.073342,0.174853,0.122931,0.220999,0.041061,0.125175,0.277007,0.172872,0.310461,0.314413,0.15964,0.480842,0.719976,0.208681,0.428191,0.92094,2.507814,4.802325,7.903355,0.883574,standing
24.282604,3.482406,1.836078,0.63986,1.471657,0.474859,0.18005,0.201281,0.159562,0.081569,0.158584,0.043207,0.213515,0.063962,0.141266,0.236536,0.037709,0.156575,0.094222,0.136735,0.051917,0.125571,0.129872,0.123995,0.083289,0.109121,0.124515,0.126192,0.113069,0.087675,0.193741,0.153375,0.029043,0.153375,0.193741,0.087675,0.113069,0.126192,0.124515,0.109121,0.083289,0.123995,0.129872,0.125571,0.051917,0.136735,0.094222,0.156575,0.037709,0.236536,0.141266,0.063962,0.213515,0.043207,0.158584,0.081569,0.159562,0.201281,0.18005,0.474859,1.471657,0.63986,1.836078,3.482406,0.575913,standing
26.527772,6.434225,2.538496,2.952571,2.78746,0.678142,0.268017,0.386321,0.430987,0.254693,0.214925,0.318736,0.159105,0.210003,0.224388,0.198387,0.02778,0.136003,0.145463,0.232626,0.184454,0.145445,0.057815,0.226296,0.112112,0.266287,0.080695,0.140778,0.152362,0.243162,0.291634,0.161371,0.041004,0.161371,0.291634,0.243162,0.152362,0.140778,0.080695,0.266287,0.112112,0.226296,0.057815,0.145445,0.184454,0.232626,0.145463,0.136003,0.02778,0.198387,0.224388,0.210003,0.159105,0.318736,0.214925,0.254693,0.430987,0.386321,0.268017,0.678142,2.78746,2.952571,2.538496,6.434225,0.814274,standing
24.613134,0.531741,3.520775,2.215039,1.713089,0.431866,0.536276,0.315477,0.410792,0.64229,0.177766,0.173893,0.139687,0.151298,0.322086,0.278965,0.032264,0.196107,0.145635,0.268358,0.191401,0.102688,0.254715,0.285961,0.339411,0.262018,0.244943,0.132815,0.05012,0.101841,0.130131,0.147094,0.187906,0.147094,0.130131,0.101841,0.05012,0.132815,0.244943,0.262018,0.339411,0.285961,0.254715,0.102688,0.191401,0.268358,0.145635,0.196107,0.032264,0.278965,0.322086,0.151298,0.139687,0.173893,0.177766,0.64229,0.410792,0.315477,0.536276,0.431866,1.713089,2.215039,3.520775,0.531741,0.606543,standing
